"SEQ #","W/H #","DEV ID","SYSFLG1","SYSFLG2","SYSFLG3","SYSFLG4","LOGIN ID","TR DATE(YMD)","TR TYPE","OPE SEQ #","RESULT","RSN CODE","TRUCK NO","CUST NO","SHIP NO","CHECK TYPE","SHIP P/N","SHIP QTY","TAG TYPE","P/N","CUST P/N","QTY","TAG SEQ #","SCAN DATE(YMD)","SCAN TIME"
"7955","01","00"," "," "," "," ","375    ","20260116","1","0001","0","1000","0211587","10000302","14","1","MA460080-30000A","0000012","  ","               ","                         ","       ","       ","20260118","205044",""
"7956","01","00"," "," "," "," ","375    ","20260116","1","0001","0","1000","0211587","10000302","14","1","MA460080-29900A","0000012","  ","               ","                         ","       ","       ","20260118","205044",""
"7957","01","00"," "," "," "," ","375    ","20260116","1","0001","0","1000","0211587","10000302","14","1","MA460060-88210A","0000012","  ","               ","                         ","       ","       ","20260118","205044",""
"7958","01","00"," "," "," "," ","375    ","20260116","1","0001","0","1000","0211587","10000302","14","1","MA460060-88110A","0000012","  ","               ","                         ","       ","       ","20260118","205044",""
"7959","01","00"," "," "," "," ","375    ","20260116","1","0001","0","1000","0211587","10000302","14","1","MA460060-88010A","0000012","  ","               ","                         ","       ","       ","20260118","205044",""
"7960","01","00"," "," "," "," ","375    ","20260116","1","0001","0","1000","0211587","10000302","14","1","MA060054-13200A","0000060","  ","               ","                         ","       ","       ","20260118","205044",""
"7961","01","00"," "," "," "," ","375    ","20260116","1","0002","0","2000","0211587","10000302","14","1","               ","       ","11","MA460060-88110A","8983137191               ","      6","0076217","20260118","205115",""
"7962","01","00"," "," "," "," ","375    ","20260116","1","0003","0","3000","0211587","10000302","14","1","               ","       ","UR","MA460060-88110A","8983137191               ","0000006","    606","20260118","205116",""
"7963","01","00"," "," "," "," ","375    ","20260116","1","0004","0","2000","0211587","10000302","14","1","               ","       ","11","MA460060-88010A","8983137171               ","      6","0075765","20260118","205117",""
"7964","01","00"," "," "," "," ","375    ","20260116","1","0005","0","3000","0211587","10000302","14","1","               ","       ","UR","MA460060-88010A","8983137171               ","0000006","    592","20260118","205118",""
