TRKNO;CUSNO;SHPNO;SHPDT;PRFLG;DAFLG;NCINV;INVRF;INVFL;DDFLG;CMRFL;SIVFL;SDDFL;ISSDT;INVNO;DDNBR;SHDDT;ESTDA;ESTTA;SHPNM;SHPA1;SHPA2;SHPA3;SHPCT;SHPAA;SHPTP;PACKG;CARQY;PALQY;GWGHT;NWGHT;WGTUM;WGTDC;VOLUM;SHPMK;UNLOC;CARNM;CARA1;CARA2;CARA3;SINFO;SNDNM;SNDA1;SNDA2;SNDA3;SNDCT;SNDAA;BILNO;BILNM;BILA1;BILA2;BILA3;BILCT;BILAA;BILNC;BILDP;BILTL;BILFX;ACTNO;ACTNM;ACTA1;ACTA2;ACTA3;ACTCT;ACTAA;SUPCD;PYTRM;FRTST;TRTRM;DELPT;PRTRM;BNKNM;BNKA1;BNKA2;BNKA3;BNKNO;INVNC;INVPT;INVAM;CURCD;CURDC;TAXAM;TAXPC;INSAM;FRGHT;SBLNO;SBLNM;SBLA1;SBLA2;SBLA3;SBLCT;SBLAA;SBLNC;SBLDP;SBLTL;SBLFX;SACNO;SACNM;SACA1;SACA2;SACA3;SACCT;SACAA;SSPCD;SPYTM;SFRST;STRTM;SDLPT;SPRTM;SBKNM;SBKA1;SBKA2;SBKA3;SBKNO;SINVC;SIVPT;SIVAM;SCRCD;SCRDC;STXAM;STXPC;SINAM;SFRGT
1151290;10000116;0;20250425;4;0;0;0;0;0;0;0;0;0;124422;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;*                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1151291;10000119;0;20250425;4;0;0;0;0;0;0;0;0;0;124427;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;*                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1151292;10000119;0;20250425;4;0;0;0;0;0;0;0;0;0;124428;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;*                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1151293;10000119;0;20250425;4;0;0;0;0;0;0;0;0;0;124431;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;*                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160679;11000107;0;20250426;4;0;0;0;0;0;0;0;0;0;40257;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;*                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160680;11000107;0;20250426;4;0;0;0;0;0;0;0;0;0;40258;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;*                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160681;11000107;0;20250426;4;0;0;0;0;0;0;0;0;0;40259;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;*                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160682;11000107;0;20250426;4;0;0;0;0;0;0;0;0;0;40260;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;*                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160683;11000105;0;20250426;4;0;0;0;0;0;0;0;0;0;40261;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
1160684;10000302;11;20250426;4;0;0;0;0;0;0;0;0;0;986903;0;20250426;0;0;                              ;                         ;                         ;                         ;   ;          ;          ;          ;0;0;0.0;0.0;  ;   ;0;          ;                    ;-                             ;                         ;                         ;                         ;                              ;                              ;                         ;                         ;                         ;   ;          ;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0;0;                              ;                         ;                         ;                         ;   ;          ;                    ;                    ;                    ;                    ;0;                              ;                         ;                         ;                         ;   ;          ;               ;                              ;0;                              ;               ;   ;                         ;                         ;                         ;                         ;               ;                    ;                    ;0.0;  ;   ;0.0;0.0;0.0;0.0
