"SEQ"	"WH"	"DEVID"	"SYSFLG1"	"SYSFLG2"	"SYSFLG3"	"SYSFLG4"	"LOGINID"	"TRDATE"	"TRTYPE"	"OPESEQ"	"RESULT"	"RSNCODE"	"TRUCKNO"	"CUSTNO"	"SHIPPN"	"SHIPQTY"	"TAGTYPE"	"PN"	"CUSTPN"	"QTY"	"TAGSEQ"	"SCANDATE"	"SCANTIME"	"REGISTERED_AT"	"REGISTERED_COMPNAME"	"REGISTERED_COMPCODE"	"SHIPNO"	"CHECKTYPE"	"FILENAME"
2062	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0001"	"0"	"1000"	"0621314"	"10005901"	"AE160800-09030T"	160	"  "	"               "	"                         "		""	01-MAR-25	"034101"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2063	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0001"	"0"	"1000"	"0621314"	"10005901"	"AE160800-11810T"	200	"  "	"               "	"                         "		""	01-MAR-25	"034101"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2064	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0001"	"0"	"1000"	"0621314"	"10005901"	"AE160800-14100T"	360	"  "	"               "	"                         "		""	01-MAR-25	"034101"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2065	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0001"	"0"	"1000"	"0621314"	"10005901"	"212900-31900T  "	80	"  "	"               "	"                         "		""	01-MAR-25	"034101"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2066	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0002"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070076"	01-MAR-25	"034113"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2067	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0003"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034114"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2068	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0004"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070029"	01-MAR-25	"034115"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2069	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0005"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034117"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2070	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0006"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070094"	01-MAR-25	"034118"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2071	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0007"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034119"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2072	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0008"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070068"	01-MAR-25	"034120"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2073	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0009"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034121"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2074	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0010"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070136"	01-MAR-25	"034124"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2075	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0011"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034127"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2076	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0012"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070051"	01-MAR-25	"034128"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2077	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0013"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034129"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2078	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0014"	"0"	"2000"	"0621314"	"10005901"	"               "		"11"	"AE160800-11810T"	"JJ301-002810             "	4	"0070046"	01-MAR-25	"034132"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
2079	"48"	"08"	" "	" "	" "	" "	"888"	28-FEB-25	1	"0015"	"0"	"3000"	"0621314"	"10005901"	"               "		"CS"	"               "	"JJ301-002810             "		""	01-MAR-25	"034133"	25-APR-25	"DSTH"	"40040"	"00"	"H"	"20250301.CSV"
